content,content_stem,score,target
cancelled refund for no reason. waited for 3weeks. received Infor shipment and ninja delivery parcel dated. cancelled no parcel no reason. complain no reply. bad service,cancel refund reason wait week receiv infor shipment ninja deliveri parcel date cancel parcel reason complain repli servic,1,1
Terrible delivery ethics and dispute resolution by Shopee. Highly irresponsible delivery guy left my parcel in the water meter area without even sending me a message to inform me that the parcel was left there till I raise a request for refund because I did not receive the item though the app says item delivered. The worst thing is Shopee resolve the dispute without verifying if the item was found. Total disappointment with how Shopee handles such disputes! Total loss of confidence in Shopee!,terribl deliveri ethic disput resolut highli irrespons deliveri guy left parcel water meter area without even send messag inform parcel left till rais request refund receiv though say deliv worst thing resolv disput without verifi found total disappoint handl disput total loss confid,1,1
Fun shopping and good discount,fun shop good discount,4,0
"many items on shopee are of low quality, and from my experience, despite evidence of broken merchandise, they side with the seller... I do not like how they run their business and have decided to never use their services again as it is not shopper friendly.",mani low qualiti experi despit evid broken merchandis side like run busi decid never use servic shopper friendli,1,1
Items compared to other leading online stores are sold at amazing prices,compar lead onlin store sold amaz price,5,0
look good,look good,4,0
"Nice App, I Just Hope That Added Other Payment Options Like What qoo10 has. Such as payment to 7-Eleven And PayPal, I know a lot of students who want to buy online items but are limited by not having a Bank Card for Online purchases.",nice hope ad payment option like qoo payment eleven paypal know lot student want buy onlin limit bank card onlin purchas,4,0
To all shopee users out there! Please be mindful of those people working at shopee in singapore! They limited the accounts for nothing and asked for a photo id to verify if u are the owner.. next whn u fulfill that.. they asked for the photos of the items u received.. then they start asking for your bank account??? Isnt that suppose to be confidental due to the personal protection act??? Why is this person by the name of KELLY keep asking me for that? Shopee is not the cheapest platform u can fin,user pleas mind peopl work singapor limit account noth ask photo id verifi u owner next whn u fulfil ask photo u receiv start ask bank account isnt suppos confident due person protect act person name kelli keep ask cheapest platform u fin,1,1
All purchase will be advised on their status accordingly and if seller unable to proceed shopee will return within 1-2 days time. Enjoy the monthly vouchers given by shopee and will continue to purchase thru shopee on my drinks and other stuffs.,purchas advis statu accordingli unabl proceed return within day time enjoy monthli voucher given continu purchas thru drink stuff,5,0
Recommended from my son. Hope this can help me find more things that I would like to have.,recommend son hope help find thing would like,5,0
Excellent,excel,5,0
Always happy to purchase items through shopee,alway happi purchas,5,0
Its good,good,5,0
Fast and safe,fast safe,4,0
"Prompt , easy to use. Can find most of the items search. Very addictive",prompt easi use find search addict,5,0
Disappointed with shopee delivery timeline.. items always arrive like 3wks? Idk i using shopee or taobao...,disappoint deliveri timelin alway arriv like wk idk use taobao,1,1
"Sports shoes, sneakers, boots,down or winter jacket can easily found from here",sport shoe sneaker boot winter jacket easili found,4,0
"Good shopping experience, easy and good recommendation.",good shop experi easi good recommend,5,0
Fast service,fast servic,5,0
Loving this online app. Move on qoo10 and carousell!,love onlin move qoo carousel,5,0
So far the experience has been good.,far experi good,5,0
The CS is no help. Seller is doubly unhelpful. I'm not keeping this app anymore. There are other platforms out there.,cs help doubli unhelp keep anymor platform,1,1
This is better than Q10 and Lazada seriously. Enjoyed the online shopping experience so far.,better q lazada serious enjoy onlin shop experi far,5,0
Just love browsing around. User-friendly apps,love brows around user friendli app,5,0
"But really Dnt understand whats the shop name for. Just want to ask u 2 questions. Firstly, can i change my hp no in my acc and can i create one more acc in my another hp? Secondly..shall i register a shop name so that i can open an acc here",realli dnt understand what shop name want ask u question firstli chang hp acc creat one acc anoth hp secondli shall regist shop name open acc,3,1
Good place to compare the price but downside is can't see the real quality. But who cares .. to me price is the most important of course subject to each perspective,good place compar price downsid see real qualiti care price import cours subject perspect,4,0
User friendly experience and wide range of products to choose from Value for money products Less 1 star as most products do not have detailed product descriptions like other sites like Qoo10,user friendli experi wide rang product choos valu money product less star product detail product descript like site like qoo,4,0
"I like the app, but some of my parcel haven't receive until now, but then they put delivered even there's no one came to deliver the parcel.. Makes me so disappointed that wasted of money buying stuff in some seller.",like parcel receiv put deliv even one came deliv parcel make disappoint wast money buy stuff,3,1
One of my fave online shopping site. Queries or problems will be handled or solved by efficient team! Great shopping experience for me!,one fave onlin shop site queri problem handl solv effici team great shop experi,4,0
"Products r fine, goid pricing too. But i would highly suggest that Shopee does not use Ninja van as the delivery couriers. They are terrible and there has been so much trouble n inconvenience caused to customers because of their inefficiency.",product r fine goid price would highli suggest use ninja van deliveri courier terribl much troubl n inconveni caus custom ineffici,4,0
The app has gotten very lag and loads contents (including account contents) very slowly. Sometimes it won't even load after clearing app storage and cache in the phone settings. Now it won't even login after uninstalling and reinstalling!!,gotten lag load content includ account content slowli sometim even load clear storag cach phone set even login uninstal reinstal,1,1
"Hi there, need assistance on local delivery ? I can help as I am currently assisting a few online biz companies with their B2C delivery",hi need assist local deliveri help current assist onlin biz compani b c deliveri,3,1
"I always like to do shopping in shopee,shipping cost is cheaper and fast delivery,sometimes can get cheaper items than other e-commerce website.",alway like shop ship cost cheaper fast deliveri sometim get cheaper e commerc websit,5,0
shopee is a fraudulent platform. sellers are fraudulent and shopee offers no protection,fraudul platform fraudul offer protect,1,1
I like this app. Easy for buying and easy to being sallee also.,like easi buy easi salle also,4,0
Good online marketing platform with many items to choose from. Reasonable pricing and good customer service from shopee people.,good onlin market platform mani choos reason price good custom servic peopl,5,0
Great shopping experience . Resonable price. Love the shipping rate affordable . Keep it up. Overall Satifaction.,great shop experi reson price love ship rate afford keep overal satifact,5,0
Mediocre customer support from Shopee,mediocr custom support,3,1
Good place to shop for … …,good place shop,4,0
why is the price is wriiten in dollar rate... im on the philippines now,price wriiten dollar rate im philippin,1,1
Enjoy shopping at shoppe site,enjoy shop shopp site,4,0
Very user-friendly and great discount!,user friendli great discount,5,0
Ordered simple tactical boot $25.00 on 23/03/19 and yet haven't receive! Atlast replied me through chat supplier 'No Stock'! There's no refund column there to claim refund... So my money burned???,order simpl tactic boot yet receiv atlast repli chat supplier stock refund column claim refund money burn,1,1
Great platform to buy everything,great platform buy everyth,5,0
Good,good,5,0
"Very useful, reliable and quality products.",use reliabl qualiti product,5,0
Enjoying shopee shopping with various product they have as well as their game to win shopee point.,enjoy shop variou product well game win point,5,0
Fast delivery,fast deliveri,5,0
"Always an enjoyable, safe, and convenient shopping experience.",alway enjoy safe conveni shop experi,5,0
Easily navigtation. Allows to easily view all items purchased from multiple different sellers. And each purchase comes with coins earn as rewards,easili navigt allow easili view purchas multipl differ purchas come coin earn reward,5,0
Convenient and reasonable prices.,conveni reason price,5,0
I wish have cash on dilivery.i do not have any credit account here.need asked a friend to order for me.,wish cash diliveri credit account need ask friend order,3,1
First time buying got cancelled after waiting for more than 10 days because seller cannot deliver to my area and have to wait for 7 to 14 days for refund.,first time buy got cancel wait day cannot deliv area wait day refund,1,1
Better if can do more accurate searching. And ban exorbitant sellers. Tks,better accur search ban exorbit tk,4,0
"Easy to monitor goods delivery. If can compare other similar products at the same time like previously, it will be even better. After received few products from the same dealer, if press wrongly for Submit button by only fill up 1 item rating, there is no way to fill up the remaining items rating, it makes me missed out a lot of shopee coins.Hope the apps can be improved further.",easi monitor good deliveri compar similar product time like previous even better receiv product dealer press wrongli submit button fill rate way fill remain rate make miss lot coin hope app improv,4,0
Easy to navigate and has games to earn points.,easi navig game earn point,5,0
"hellooo???? where is my goddamn refund? its been nearly up to 3 months now that ive been waiting, i emailed u, u no reply , what is this?? isit shopee get more momey but no returning customers refund? ans me why so long . 4-5 months alrdy leh. u say during june wait 14 days. i waited how many months alrdy.",hellooo goddamn refund nearli month ive wait email u u repli isit get momey return custom refund an long month alrdi leh u say june wait day wait mani month alrdi,1,1
"It would be much better if u guys start to use ""Rely"" as one of the payment option to garner more customers.",would much better u guy start use reli one payment option garner custom,4,0
Fast and good,fast good,4,0
"Used to shop with 2 well known platform La and Q.... Until some products were not what was promised, delivery was a problem, after ordering no stock and had to refund money to credit card etc.. Shopee currently has been promising. Hopefully the people in charge will not let all these sellers who are not trustworthy come in and spoil what is so far a good place to shop UPDATE: TO SHOPPEE DEVELOPER!! I THINK U NEED TO READ THE REVIEW RATHER THAN ANSWER WITH A TEMPLATE. I COMPLIMENTED SHOPPEE.....",use shop well known platform la q product promis deliveri problem order stock refund money credit card etc current promis hope peopl charg let trustworthi come spoil far good place shop updat develop think u need read review rather answer templat compliment,3,1
So far so good. Only used for 2 months.,far good use month,4,0
Best shopping app ive used. Easy to manage and track orders. 👍,best shop ive use easi manag track order,5,0
Great,great,5,0
"Payment mode got problem, can't make payment using credit card.",payment mode got problem make payment use credit card,1,1
Till now still one of my Trusted platform/ APP to have my online. purchase,till still one trust platform onlin purchas,4,0
"costumer representative says ..unistall it then reinstall for the update of 
cod application ..after proceeding to his command ..now i cannto log in 
using my number !!!!! how will you fix this ??i have a pending order . 
earlier i am proceeding to payment option now i cant log in !!!alreadg done 
email .with the username and mobile number i used ..and now im still 
waiting for your reply !! and its better the older version we can see the 
prices direct to our currency ..",costum repres say unistal reinstal updat cod applic proceed command cannto log use number fix pend order earlier proceed payment option cant log alreadg done email usernam mobil number use im still wait repli better older version see price direct currenc,1,1
Need bug fix. Unable to make purchase with notice saying seller is on vacation. Yet i could make the same transaction on web platform. Edit: Thanks Shopee for the reply. I tried the customer service form. Not able to submit at all. No matter which method used.,need bug fix unabl make purchas notic say vacat yet could make transact web platform edit thank repli tri custom servic form abl submit matter method use,3,1
"Hi Shopee, unable to load any page after updating to Android 8.0 Please help!!",hi unabl load page updat android pleas help,3,1
Wide variety of products at affordable price. Lower than retail shops.,wide varieti product afford price lower retail shop,4,0
Super app,super,5,0
"the ony best advantagenod shopee is the coins, this seems to be the only online platform that ww could convert the coins to cash.",oni best advantagenod coin seem onlin platform ww could convert coin cash,4,0
Good & easy to navigate,good easi navig,4,0
Reliable and trustworthy website.,reliabl trustworthi websit,5,0
Great choices but its really based on the price your are paying. Dont expect too much. Delivery is slightly delayed during this period thoigh.,great choic realli base price pay dont expect much deliveri slightli delay period thoigh,5,0
"Encountered horrible sellers in this app who doesn't respond to any enquiries, have phone numbers that are not even active and without any valid business address. Looks like shopee need to improve its ecosystem of sellers otherwise it will be full of scam sellers who just waste your time and effort to chase them for updates on your orders. One thing you can improve: show how many percentage of items not shipped on time by sellers and how long is the average delay so customer know what to expect.",encount horribl respond enquiri phone number even activ without valid busi address look like need improv ecosystem otherwis full scam wast time effort chase updat order one thing improv show mani percentag ship time long averag delay custom know expect,1,1
I was ordered a earphone by this shopee app. Almost one month already but the earphone still never come. They just kept one paper in the latter box.,order earphon almost one month alreadi earphon still never come kept one paper latter box,1,1
"Terrible, the app don't allow to delete account",terribl allow delet account,1,1
"This could be a great app, but unfortunately you can't even start to sell because you can't verify your phone number, which means no selling. Looking forward to when this is fixed to be able to try this app out",could great unfortun even start sell verifi phone number mean sell look forward fix abl tri,2,1
Very good,good,5,0
"Good response in delivery, refund and feedback. Kudo one of the best online shopping in Singapore.",good respons deliveri refund feedback kudo one best onlin shop singapor,5,0
"Full of fake vendors (purchase a product and suddenly it is out of stock, and they try to replace with a lower quality product, at same price of course). Also, Shopee cheats you with the deposit that cannot be refunded. When checking with the support team they told me that I just need to close my account and I'll get an email to get my deposit back. It's been 2 weeks I closed and no email. Shoppe simply robbed me 150$. Don't waste time with it, competitors are more serious and honest",full fake vendor purchas product suddenli stock tri replac lower qualiti product price cours also cheat deposit cannot refund check support team told need close account get email get deposit back week close email shopp simpli rob wast time competitor seriou honest,1,1
Awesome ! Only delivery now super slow maybe because of the pandemic,awesom deliveri super slow mayb pandem,5,0
"My shopping experience in Shopee is getting better. I like the notification of the delivery schedule before purchase, the ability to communicate with the sellers, and making payment is easy through credit card. Any cancellation or refund is also easy, and so far I am happy with the experience. Searching for competitive pricings and product comparison is also easy. It is useful for sellers to upload many pictures of their products to allow buyers to see and fully understand the products well.",shop experi get better like notif deliveri schedul purchas abil commun make payment easi credit card cancel refund also easi far happi experi search competit price product comparison also easi use upload mani pictur product allow buyer see fulli understand product well,5,0
"I paid the app for something and yet, they said that they did not receive 
my payment. I lost $30 because of this. They are also quite useless helping 
find where the money went they can't even check their own bank account to 
verify that the money has been sent inside. Unreliable app .",paid someth yet said receiv payment lost also quit useless help find money went even check bank account verifi money sent insid unreli,1,1
Good app for online shopping,good onlin shop,4,0
"Shopee customer service mentioned many refund cases to handle, I myself had 2 : 1 conned case fake cert fake products another 1 sent 1 bottle but ordered is for 2. yet shopee released money to both sellers.. raised dispute for refund took donkey weeks to months . wonder what shopee platform becomes conned platform for seller.. sad",custom servic mention mani refund case handl con case fake cert fake product anoth sent bottl order yet releas money rais disput refund took donkey week month wonder platform becom con platform sad,2,1
If only it goes back to the old times where the free coins are more in daily sign in and lesser coins used to redeem voucher then i will award another star.,goe back old time free coin daili sign lesser coin use redeem voucher award anoth star,4,0
Fast free and cheap way to purchase things online love it,fast free cheap way purchas thing onlin love,5,0
"Will update buyer on the pdt status but hv problems trying to pay via credit card. So hv to use bank transfer. Good thing is, the transaction still go through",updat buyer pdt statu hv problem tri pay via credit card hv use bank transfer good thing transact still go,4,0
"I used to think the app was pretty good until the recent update. didn't like that I had to click into ""my shop"" so see my own products. and more importantly, once in a while can't see my listings and notifications at all! and I get prompted to upload my products and start selling? please don't give me a heart attack. I quickly withdrew all my money in case all my records disappeared.",use think pretti good recent updat like click shop see product importantli see list notif get prompt upload product start sell pleas give heart attack quickli withdrew money case record disappear,2,1
Love this app. Easy to use. Found many good deals here.,love easi use found mani good deal,5,0
Good deals,good deal,4,0
"I've stopped online shopping since 2014 but then in 2020, SHOPEE happened - been buying few products on this great fun online platform. Thank you Shopee for reLIGHTing MY FIRE (to shop again). 5 Stars to you:)",stop onlin shop sinc happen buy product great fun onlin platform thank relight fire shop star,5,0
Unable to add address . Fix asap,unabl add address fix asap,1,1
"Best place for online shopping, Can find almost everything here.",best place onlin shop find almost everyth,5,0
Room for improvement cos I'd encountered scammer. I was told to deal outside the app. Shopee should engaged app detectives. Flush out the lowlife!,room improv co encount scammer told deal outsid engag detect flush lowlif,4,0
Great feeling. App is simple to use. Fast n not laggy. Great platform.,great feel simpl use fast n laggi great platform,5,0
Cant play my plant game... lose out so much daily 😡,cant play plant game lose much daili,1,1
It doesnt allow me to log in,doesnt allow log,1,1
Please,pleas,3,1
Pop up another valentine sheet notification again beech.,pop anoth valentin sheet notif beech,2,1
Overall I love the whole app and the layout but sometimes when you use the app for too long it will start to lag but thats the only con of this app! Other than that its very easy to navigate and has a clean user surface :),overal love whole layout sometim use long start lag that con easi navig clean user surfac,4,0
Worst shopping app compared to Qoo10 and Lazada. No quality control - some shops under Shopee Mall sell counterfeit items. Customer service is not helpful at all - replies are quick but mostly useless templates. Buy at your own risk.,worst shop compar qoo lazada qualiti control shop mall sell counterfeit custom servic help repli quick mostli useless templat buy risk,1,1
Very good apps! Recommended!,good app recommend,5,0
Very good and fast.. never crashed so fast..,good fast never crash fast,4,0
SHOPEE has a very lousy and backdated APP. I referred my friend but my friend particated in their event without any first purchase. SHOPEE system has denied my friend of his entitlement of first purchase and does not give him referral voucher of 10 dollars. The live chat team consists of low level knowledge team and does not help to resolve system error in their system. Very disappointed with the he Shopee app.,lousi backdat refer friend friend partic event without first purchas system deni friend entitl first purchas give referr voucher dollar live chat team consist low level knowledg team help resolv system error system disappoint,1,1
unable to check out. keep prompting error.,unabl check keep prompt error,1,1
"My fav shopping app. Prices are better than other platforms. Navigation is speedy despite being feature packed, search results by top sales is useful, image search is great & activities/vouchers during 9.9, 11.11 etc are rewarding! Only lags occasionally.",fav shop price better platform navig speedi despit featur pack search result top sale use imag search great activ voucher etc reward lag occasion,4,0
Hi I am not able to change social media acct. Can assist? My items listed just went missing when I do a search. It is in shop but cannot find from buyer search. Also I drop an email to support for over a month for my question yet no response. Tks.,hi abl chang social media acct assist list went miss search shop cannot find buyer search also drop email support month question yet respons tk,3,1
App Bug- unable to unfollow sellers who follow us. 1)Still not fixed after so long despite numerous feedback to customer service! In fact now more seller followers after they agree to fix bug! 2)App always hang+slow down esp if more items in cart. 3)Still can't allow us to copy & paste in app. whatever we type eg in review or etc except for improvement in being able to copy & paste order id(previously couldn't) from my numerous feedback.,bug unabl unfollow follow us still fix long despit numer feedback custom servic fact follow agre fix bug alway hang slow esp cart still allow us copi past whatev type eg review etc except improv abl copi past order id previous numer feedback,1,1
The seller spam me. Send me more than 20 message asking me to cancel my order cos there is no stock. Then I request to cancel order then seller never react. Please allow me to cancel my order and refund me asap. I want to uninstall after the refund is done,spam send messag ask cancel order co stock request cancel order never react pleas allow cancel order refund asap want uninstal refund done,1,1
Have fun shopping and enjoying every promotions,fun shop enjoy everi promot,5,0
Still ok,still ok,4,0
So far so good.,far good,4,0
Should improve snap search.,improv snap search,4,0
Buying experience is good,buy experi good,4,0
1 thing that can be improved on is when i had to change Ninja Van self collection point due to the one i picked is full or unavailable. The app still shows the old collection point instead of the nee one i chose.,thing improv chang ninja van self collect point due one pick full unavail still show old collect point instead nee one chose,4,0
A good shopping apps,good shop app,5,0
i made transfer payment to dbs acct but was not recorded and my transaction was cancelled!!! I did not keep my transfer receipts :(,made transfer payment db acct record transact cancel keep transfer receipt,1,1
Good mix of merchants and products. Experienced slow down occasionally.,good mix merchant product experienc slow occasion,5,0
The method of Shopee arrangement for payment to the seller is excellent. They make payment only upon buyer confirmation. Very reliable. I enjoyed buying with Shopee.,method arrang payment excel make payment upon buyer confirm reliabl enjoy buy,5,0
Great online platform. So far so good.,great onlin platform far good,5,0
Can browse but can't login.,brows login,1,1
Easy to use and lots of items to view,easi use lot view,5,0
Cant register,cant regist,1,1
So far so good in the shopping experience,far good shop experi,4,0
Love how easy online shopping is on Shopee!!,love easi onlin shop,5,0
Refunds are easy to do.,refund easi,5,0
System is laggy. Payment process in system takes too long and frequency of failure is 9 out of 10. Ended up the stocks in flash deal are often out of stock after umpteen retries attempt for payment.  Delivery of stocks are often more than 3 weeks. A lot more longer than sellers from other platforms.,system laggi payment process system take long frequenc failur end stock flash deal often stock umpteen retri attempt payment deliveri stock often week lot longer platform,1,1
added more than 10 items in the cart and all went missing .,ad cart went miss,3,1
Sometimes it lagged during flash sale caused me to missed on the deal. Please fix it. Thank you!,sometim lag flash sale caus miss deal pleas fix thank,3,1
Cheaper mostly. And I like the fact you can easily chat with the seller to find more details. And is simple to use. Pricing is mostly very clear unlike Qoo10 which always list the lowest price but hide the actual among it's options,cheaper mostli like fact easili chat find detail simpl use price mostli clear unlik qoo alway list lowest price hide actual among option,5,0
I will continue with Shopee as long it suits my money and item,continu long suit money,4,0
I like the part where i can really acknowledge the item.,like part realli acknowledg,5,0
Bad unfriendly user interface.,unfriendli user interfac,1,1
I much prefer the older version when my feed wasn't cluttered with posts from people i don't follow. It makes it hard to see updates from the shops i actually followed. I'm not interested in seeing those irrelevant posts. Please bring back the older version. Edit: don't understand why the daily log in for coins decreased so much.,much prefer older version feed clutter post peopl follow make hard see updat shop actual follow interest see irrelev post pleas bring back older version edit understand daili log coin decreas much,3,1
Can find some great deals in there. Most sellers are nice but got into 1 rogue dealer glad was refunded.,find great deal nice got rogu dealer glad refund,5,0
im happy shopee is the best everything you need is there and the price are cheap too and most item are original im happy thank you shopee😘😊,im happi best everyth need price cheap origin im happi thank,5,0
App is generally good but must watch out for scam sellers.,gener good must watch scam,4,0
So far so good,far good,4,0
"Will be good buyer given the rights to cancel purchas before ship out, rather than wait for seller to approve. However, 5 stars for the easy $1 lucky draw which shopee credit back to you even u did not win. Of course, hope can win soon in 2020 ,😘",good buyer given right cancel purcha ship rather wait approv howev star easi lucki draw credit back even u win cours hope win soon,4,0
I love Shopee. User interface is excellent. Very convenient for both buyers and sellers. Come look for me @gentlexmonster 🥳,love user interfac excel conveni buyer come look gentlexmonst,5,0
really like this app but recently the app kept hanging when I pressed the cart button. IT PLS FIXED THIS PROBLEM,realli like recent kept hang press cart button pl fix problem,4,0
"Found great deals on the app. So far there's no big problems when using the app, just that it's quite slow.",found great deal far big problem use quit slow,4,0
My hp auto updated shoppe app. Now i cannot view the items in the cart or buy them 😡,hp auto updat shopp cannot view cart buy,1,1
Very nice,nice,5,0
Was so happy wif this app when things get out of hand btwn me and seller. Get help from admin and gave me 'nonsense' reply. I've got all screnshots and proves of wads happening !,happi wif thing get hand btwn get help admin gave nonsens repli got screnshot prove wad happen,1,1
Good shopping experience and less delivery chargers. But hope you will add more products.,good shop experi less deliveri charger hope add product,5,0
Great but sometimes confusing on paying and using vouchers,great sometim confus pay use voucher,4,0
"Sooo, I can't add anything to the cart cos I don't have an account. That's fine. Tried to create account. Added all sorts of special characters and numbers to make the username unique. USERNAME TAKEN. Huh?! Uninstalled.",sooo add anyth cart co account fine tri creat account ad sort special charact number make usernam uniqu usernam taken huh uninstal,1,1
The most idiot-proof and BEST online shopping platform ever !!,idiot proof best onlin shop platform ever,5,0
"Extremely poor chat agent attitude and unsatisfactory customer service hotline support. Chat agent Nurul disappeared halfway thru the chat & when i was unfortunate enough to encounter her again after starting a new chat, she used the same tactic of keeping mum. However, after i asked, she wasted no time in giving me a hotline number which i soon found could not be put thru even after hanging on for almost 10 mins Btw,, my problem started with repeated server error when trying to pay by visa",extrem poor chat agent attitud unsatisfactori custom servic hotlin support chat agent nurul disappear halfway thru chat unfortun enough encount start new chat use tactic keep mum howev ask wast time give hotlin number soon found could put thru even hang almost min btw problem start repeat server error tri pay visa,1,1
Purchased of $1 big prices will make you not eligible to claim new user free gifts.,purchas big price make elig claim new user free gift,3,1
"Not the Best price for a list of items that I want to buy, even after the 10% rebate also cannot match.",best price list want buy even rebat also cannot match,1,1
Best,best,5,0
Is the best online store for me! so many stuffs from Korea and Japan which I've problem getting it especially during this COVID 19 period. Some stuffs' price alot lower than what I usually pay for and the delivery charges are very low too! is an amazing website!,best onlin store mani stuff korea japan problem get especi covid period stuff price alot lower usual pay deliveri charg low amaz websit,5,0
have been with this app for more than 2 years but now is getting worst. Item brought last on 24 dec until now still haven't reach.,year get worst brought last dec still reach,3,1
Cart unable to access,cart unabl access,2,1
"Bad delivery timing, no ETA. God knows what time reaching your doorstep.",deliveri time eta god know time reach doorstep,1,1
Simple and great experience. Fast delivery,simpl great experi fast deliveri,5,0
"I purchased a vinyl sticker for my car. It was delivered to me with a missing character. The seller insisted that i was trying to scam him. Brought it up to shopee and i was told to wait a few days before an agent will get back to me. At the same time the seller throwed shade, saying that i have no culture as a singaporean. A few days later a Shopee agent came back to me asking if i would accept a partial refund. WHY WOULD I ACCEPT A PARTIAL REFUND? Why would i use a damaged vinyl on my car?",purchas vinyl sticker car deliv miss charact insist tri scam brought told wait day agent get back time throw shade say cultur singaporean day later agent came back ask would accept partial refund would accept partial refund would use damag vinyl car,3,1
Read your items well and check before you buy!,read well check buy,5,0
how can i make the diplay price turn into peso?  it shows dollor,make diplay price turn peso show dollor,3,1
Most of the items delivered as advertised. Some items are cheap too!,deliv advertis cheap,4,0
The best among the online platforms in terms of pricing and service.,best among onlin platform term price servic,5,0
Good app,good,5,0
"Even though push notifications are set to only orders and chats, you still get notifications of Live events which you are not interested in. Irritating to the max!",even though push notif set order chat still get notif live event interest irrit max,3,1
No Notification arrive for chat after this new update,notif arriv chat new updat,2,1
Good service app,good servic,5,0
Excellent to date! User friendly and efficient.,excel date user friendli effici,5,0
Nice app.,nice,5,0
Easy shopping and items received as per description,easi shop receiv per descript,4,0
Interface user friendly,interfac user friendli,5,0
"Shoppee seller response to buyer very slow or no reply, eg. Hibeaut",respons buyer slow repli eg hibeaut,3,1
Nice,nice,5,0
Good except some items maybe out of stock even as it display stock available.,good except mayb stock even display stock avail,5,0
Can't buy a damn thing because the phone verification doesn't work..,buy damn thing phone verif work,1,1
Very Comfortable!,comfort,4,0
Mostly pleasant and happy shopping experience. Will continue supporting!,mostli pleasant happi shop experi continu support,5,0
Awesome,awesom,5,0
No complains. Reliable. My purchases came in good condition.,complain reliabl purchas came good condit,4,0
I have been trying to process my payment for the past day or so but it wont let me. It keeps asking me to tap to load again. Tried re-installing the app but to no avail. Very dissapointed as the app was so good before.,tri process payment past day wont let keep ask tap load tri instal avail dissapoint good,1,1
Bad support,support,1,1
Good experiences so far. The search could be improved. overall prefer this app to other mobile shopping apps now.,good experi far search could improv overal prefer mobil shop app,5,0
offers good deals but i hope that they remove sellers who sell fake items..,offer good deal hope remov sell fake,4,0
Everything is alright but i wanna change my phone but i can't due to my old credit in which i already change it. How am i suppose to change my number because of my old credit?,everyth alright wanna chang phone due old credit alreadi chang suppos chang number old credit,2,1
"My 2nd online shopping app that i like,1st online shopping app that i like is qoo10. Hope they gave voucher like qoo10 gave and they have vip,gold,sliver and green membership reward. For those whose buy a lots online shopping get free membership, reward and discount price if purchase. Buy a lots thing from shopee. Hope u could improve in it.So far so good no disappointed about the delivery and order.",nd onlin shop like st onlin shop like qoo hope gave voucher like qoo gave vip gold sliver green membership reward whose buy lot onlin shop get free membership reward discount price purchas buy lot thing hope u could improv far good disappoint deliveri order,4,0
Good and delivery was fast,good deliveri fast,4,0
Fun way to shop with unique games and good offers!,fun way shop uniqu game good offer,5,0
Shipping is inconsistent between sellers some are fast some are slow. Otherwise 5 stars great app to shop!,ship inconsist fast slow otherwis star great shop,4,0
Everything is direct quick and easy without any fuss,everyth direct quick easi without fuss,5,0
Fast customer service response and better than Lazada customer service.,fast custom servic respons better lazada custom servic,4,0
"ezee shoping , the the delivery faster",eze shope deliveri faster,5,0
"Good deals, simple to use and clear UI. Just that some sellers are not very responsive.",good deal simpl use clear ui respons,5,0
Fast and reliable.Have not encountered damaged items before,fast reliabl encount damag,5,0
Everything you need can be found in shopee. Easy and convenient way of shopping,everyth need found easi conveni way shop,5,0
Best shopping app!,best shop,5,0
freeze & freeze & freeze,freez freez freez,1,1
"Best online shopping app I have used. Easy to use, wide variety of goods, competitive prices and payment guarantee till orders have been delivered",best onlin shop use easi use wide varieti good competit price payment guarante till order deliv,5,0
"It's a nice platform to shop. However, the CS team are not of much help when it comes to retracting ""confirmed"" orders. So do not accidentally press the button because they'll just reply you with :"" sorry nothing can be done"" 😐",nice platform shop howev cs team much help come retract confirm order accident press button repli sorri noth done,3,1
Easy and happy buyer,easi happi buyer,4,0
Shopee coins scammer,coin scammer,1,1
Loved it,love,4,0
So far it has been a pleasant experience.,far pleasant experi,4,0
Fast and easy,fast easi,5,0
"Unable to rate seller whose sending wrong/damage product if refund been approved. Hence, unable to alert future buyer. And notice that some seller actually making use of this loophole to play some trick on the wrong order fulfilment since their behaviour will not exposed.",unabl rate whose send wrong damag product refund approv henc unabl alert futur buyer notic actual make use loophol play trick wrong order fulfil sinc behaviour expos,2,1
"customer service will not go beyond to check for your shipment status, they will only base on the last day for you to receive the goods",custom servic go beyond check shipment statu base last day receiv good,1,1
A little laggy at times but good flash sales,littl laggi time good flash sale,3,1
Great shopping app. Lots of choices.,great shop lot choic,5,0
cheaper price and lots of item to choose!,cheaper price lot choos,5,0
Very laggy. Takes 3 to 5 secs for each page to load,laggi take sec page load,4,0
Very nice,nice,5,0
"In this day and age of security breaches, it's shocking that there is no option to make purchases with credit/debit cards without saving it. So I tried saving a few cards but they were all rejected. Paid by bank transfer.. but there was a disclaimer that said 3 days is needed for verification.. when the merchants are threatening to cancel the order within a day if no payment received.. and also.. the app is clunky and slow compared to iOS version..",day age secur breach shock option make purchas credit debit card without save tri save card reject paid bank transfer disclaim said day need verif merchant threaten cancel order within day payment receiv also clunki slow compar io version,1,1
My best shopping platform!,best shop platform,4,0
Laggy af,laggi af,1,1
Search Function - does not work. Keyed in words to find items but nothing close to it came out. I really find it odd.,search function work key word find noth close came realli find odd,1,1
Easy to use. Delivery was fast.,easi use deliveri fast,5,0
So far so good except for 1 China seller promised to exchange faulty game set but failed to deliver. Overall easy to buy fr this platform,far good except china promis exchang faulti game set fail deliv overal easi buy fr platform,5,0
